"","citycode","year","month","val","low","mid","high"
"1","ATXR","2000",1,"100.00",100,100,100
"2","ATXR","2000",2,"100.80",100.67,100.35,101.06
"3","ATXR","2000",3,"101.18",101.36,100.95,101.21
"4","ATXR","2000",4,"102.50",102.97,101.77,102.87
"5","ATXR","2000",5,"103.38",103.86,102.66,103.73
"6","ATXR","2000",6,"104.58",104.82,103.9,105.02
"7","ATXR","2000",7,"104.81",105.34,104.54,105.01
"8","ATXR","2000",8,"105.09",106,104.94,105.21
"9","ATXR","2000",9,"105.08",106.64,104.94,104.99
"10","ATXR","2000",10,"105.56",107.23,105.36,105.24
"11","ATXR","2000",11,"106.04",108.15,105.64,105.49
"12","ATXR","2000",12,"106.35",108.94,106.13,105.64
"13","ATXR","2001",1,"106.63",109.77,106.41,105.89
"14","ATXR","2001",2,"106.90",109.99,106.83,106
"15","ATXR","2001",3,"107.24",110.42,107.09,106.3
"16","ATXR","2001",4,"108.08",111.51,107.79,107.14
"17","ATXR","2001",5,"108.74",111.96,108.55,107.89
"18","ATXR","2001",6,"109.77",112.83,109.43,109.22
"19","ATXR","2001",7,"110.24",113.16,110.22,109.66
"20","ATXR","2001",8,"110.71",113.97,110.45,110.25
"21","ATXR","2001",9,"111.09",114.46,110.48,110.59
"22","ATXR","2001",10,"111.24",114.71,110.54,110.56
"23","ATXR","2001",11,"111.17",115.15,110.55,109.96
"24","ATXR","2001",12,"111.01",115.53,110.58,109.56
"25","ATXR","2002",1,"111.18",116.23,110.85,109.61
"26","ATXR","2002",2,"111.67",116.89,111.63,110.03
"27","ATXR","2002",3,"112.02",117.45,112.4,110.13
"28","ATXR","2002",4,"112.39",118.27,113.18,110.24
"29","ATXR","2002",5,"113.01",119.07,113.42,110.95
"30","ATXR","2002",6,"113.75",120.12,113.98,111.87
"31","ATXR","2002",7,"114.31",120.8,114.26,112.82
"32","ATXR","2002",8,"114.68",121.18,114.99,113.18
"33","ATXR","2002",9,"114.76",121.2,115.12,113.08
"34","ATXR","2002",10,"114.86",121.34,114.81,113
"35","ATXR","2002",11,"114.91",122.07,114.56,112.84
"36","ATXR","2002",12,"114.91",122.19,115,112.74
"37","ATXR","2003",1,"115.12",122.45,115.31,112.87
"38","ATXR","2003",2,"115.23",122.21,115.59,112.92
"39","ATXR","2003",3,"115.84",122.57,115.83,113.74
"40","ATXR","2003",4,"116.06",122.43,116.12,114.18
"41","ATXR","2003",5,"116.88",123.28,116.72,115.19
"42","ATXR","2003",6,"117.35",124.11,117.07,115.83
"43","ATXR","2003",7,"117.79",124.57,117.48,116.41
"44","ATXR","2003",8,"118.17",125.59,117.74,116.81
"45","ATXR","2003",9,"118.53",125.69,117.99,117.24
"46","ATXR","2003",10,"118.40",125.78,117.75,117.05
"47","ATXR","2003",11,"118.45",125.7,117.93,116.87
"48","ATXR","2003",12,"118.31",125.54,118.01,116.52
"49","ATXR","2004",1,"118.67",126.62,118.25,116.68
"50","ATXR","2004",2,"118.65",126.73,118.18,116.7
"51","ATXR","2004",3,"119.06",127.33,118.59,117.16
"52","ATXR","2004",4,"120.10",127.89,119.2,118.57
"53","ATXR","2004",5,"120.88",127.98,119.7,119.66
"54","ATXR","2004",6,"121.49",128.15,119.96,120.59
"55","ATXR","2004",7,"122.23",127.95,120.78,121.55
"56","ATXR","2004",8,"122.86",128.95,121.32,122.14
"57","ATXR","2004",9,"123.37",129.13,121.45,122.87
"58","ATXR","2004",10,"123.27",129.69,121.23,122.59
"59","ATXR","2004",11,"123.27",129.55,121.1,122.65
"60","ATXR","2004",12,"123.53",129.71,121.52,122.8
"61","ATXR","2005",1,"123.84",130.17,121.67,123.14
"62","ATXR","2005",2,"124.21",130.62,122.27,123.36
"63","ATXR","2005",3,"124.70",131.52,122.8,123.79
"64","ATXR","2005",4,"125.92",132.13,123.91,125.32
"65","ATXR","2005",5,"127.12",133.05,124.74,126.86
"66","ATXR","2005",6,"128.53",134.06,125.81,128.52
"67","ATXR","2005",7,"129.03",134.41,126.11,129.13
"68","ATXR","2005",8,"129.51",134.33,126.37,129.8
"69","ATXR","2005",9,"129.49",134.09,126.32,129.88
"70","ATXR","2005",10,"129.63",134.22,126.44,130.11
"71","ATXR","2005",11,"129.83",134.54,126.52,130.47
"72","ATXR","2005",12,"130.21",134.42,126.73,131.09
"73","ATXR","2006",1,"130.59",134.31,126.98,131.84
"74","ATXR","2006",2,"130.61",134.91,127.16,131.58
"75","ATXR","2006",3,"130.62",135.01,127.66,131.29
"76","ATXR","2006",4,"131.51",135.76,129.1,131.82
"77","ATXR","2006",5,"132.72",135.88,129.93,133.66
"78","ATXR","2006",6,"134.01",136.8,130.6,135.39
"79","ATXR","2006",7,"134.90",137.27,131.19,136.6
"80","ATXR","2006",8,"135.27",137.67,131.36,137.03
"81","ATXR","2006",9,"135.10",137.47,131.18,136.95
"82","ATXR","2006",10,"134.73",137.48,131.05,136.42
"83","ATXR","2006",11,"134.18",138.08,130.95,135.28
"84","ATXR","2006",12,"134.01",137.84,130.99,134.94
"85","ATXR","2007",1,"133.45",136.65,130.4,134.61
"86","ATXR","2007",2,"133.30",135.06,130.49,134.87
"87","ATXR","2007",3,"133.22",134.41,130.88,134.63
"88","ATXR","2007",4,"134.27",135.63,131.27,135.97
"89","ATXR","2007",5,"135.03",136.35,131.46,136.99
"90","ATXR","2007",6,"136.11",137.18,132.28,138.17
"91","ATXR","2007",7,"136.47",137.12,132.71,138.41
"92","ATXR","2007",8,"136.44",136.61,132.74,138.35
"93","ATXR","2007",9,"135.55",135.66,132.16,137.42
"94","ATXR","2007",10,"133.86",134.44,130.92,135.53
"95","ATXR","2007",11,"131.34",132.67,129.08,132.52
"96","ATXR","2007",12,"129.61",130.3,126.93,131.12
"97","ATXR","2008",1,"127.76",126.88,125.65,129.39
"98","ATXR","2008",2,"125.98",124.2,123.34,128.04
"99","ATXR","2008",3,"124.46",122.92,123.02,125.86
"100","ATXR","2008",4,"123.62",122.15,121.42,125.26
"101","ATXR","2008",5,"124.29",122.3,122.12,125.97
"102","ATXR","2008",6,"124.61",121.2,120.95,127.18
"103","ATXR","2008",7,"124.74",119.88,120.84,127.48
"104","ATXR","2008",8,"124.32",118.59,119.98,127.24
"105","ATXR","2008",9,"122.71",117.08,118.81,125.54
"106","ATXR","2008",10,"119.79",114.95,116.47,122.38
"107","ATXR","2008",11,"116.46",110.91,114.37,118.72
"108","ATXR","2008",12,"113.00",106.25,110.57,115.51
"109","ATXR","2009",1,"109.44",99.92,106.14,112.72
"110","ATXR","2009",2,"106.65",97.9,102.81,110.06
"111","ATXR","2009",3,"105.07",93.73,101.38,108.58
"112","ATXR","2009",4,"105.42",93.28,100.7,109.25
"113","ATXR","2009",5,"105.98",92.34,100.55,110.36
"114","ATXR","2009",6,"107.62",93.02,101.79,111.92
"115","ATXR","2009",7,"110.09",93.38,105.13,113.9
"116","ATXR","2009",8,"111.27",94.48,106.29,114.96
"117","ATXR","2009",9,"111.26",97.07,105.55,115.27
"118","ATXR","2009",10,"110.12",99.32,104.09,114.28
"119","ATXR","2009",11,"109.29",101.26,104.79,112.77
"120","ATXR","2009",12,"108.62",99.6,105.1,111.62
"121","ATXR","2010",1,"107.04",98.42,104.18,109.69
"122","ATXR","2010",2,"105.65",95.86,102.27,108.52
"123","ATXR","2010",3,"103.73",92.53,100.01,106.95
"124","ATXR","2010",4,"105.69",93.98,101.14,109.47
"125","ATXR","2010",5,"107.86",97.29,102.69,111.42
"126","ATXR","2010",6,"109.72",99.46,104.08,113.34
"127","ATXR","2010",7,"110.02",96.67,103.66,113.93
"128","ATXR","2010",8,"108.95",93.28,100.64,113.47
"129","ATXR","2010",9,"106.39",85.14,97.36,111.48
"130","ATXR","2010",10,"103.30",76.41,95.62,108.5
"131","ATXR","2010",11,"100.80",69.46,94.6,106.46
"132","ATXR","2010",12,"100.06",68.85,93.16,105.88
"133","ATXR","2011",1,"100.33",66.35,91.25,106.65
